machineid;timestamp;isdisturbed
G352-2188;2020-06-11 10:18:22.521+00;False
G352-2188;2020-06-11 11:13:33.274+00;True
G352-2188;2020-06-11 13:46:38.492+00;False
G352-2188;2020-06-11 14:31:10.548+00;True
G352-2188;2020-06-11 14:31:20.438+00;False
G352-2188;2020-06-11 14:49:17.039+00;True
G352-2188;2020-06-11 14:49:26.601+00;False
G352-2188;2020-06-12 11:42:10.884+00;True
G352-2188;2020-06-12 11:42:20.977+00;False
G352-2188;2020-06-15 06:49:22.413+00;True
G352-2188;2020-06-15 07:02:04.579+00;False
G352-2188;2020-06-15 07:18:26.056+00;True
G352-2188;2020-06-15 07:21:41.148+00;False
G352-2188;2020-06-15 07:35:06.157+00;True
G352-2188;2020-06-15 07:35:16.751+00;False
G352-2188;2020-06-15 07:53:53.554+00;True
G352-2188;2020-06-15 07:56:00.944+00;False
G352-2188;2020-06-15 08:07:15.47+00;True
G352-2188;2020-06-15 08:07:58.141+00;False
G352-2188;2020-06-15 08:08:41.031+00;True
G352-2188;2020-06-15 08:08:51.828+00;False
G352-2188;2020-06-15 08:10:17.796+00;True
G352-2188;2020-06-15 08:10:28.562+00;False
G352-2188;2020-06-15 08:22:52.9+00;True
G352-2188;2020-06-15 08:25:34.758+00;False
G352-2188;2020-06-15 08:33:44.863+00;True
G352-2188;2020-06-15 08:44:15.358+00;False
G352-2188;2020-06-15 08:59:21.178+00;True
G352-2188;2020-06-15 10:32:57.07+00;False
G352-2188;2020-06-15 10:38:56.052+00;True
G352-2188;2020-06-15 11:20:51.451+00;False
G352-2188;2020-06-15 11:45:59.412+00;True
G352-2188;2020-06-15 11:46:32.255+00;False
G352-2188;2020-06-15 12:39:37.633+00;True
G352-2188;2020-06-15 12:39:59.695+00;False
G352-2188;2020-06-16 10:53:24.298+00;True
G352-2188;2020-06-16 11:01:57.7+00;False
G352-2188;2020-06-16 11:11:01.742+00;True
G352-2188;2020-06-16 11:17:55.707+00;False
G352-2188;2020-06-16 13:09:27.666+00;True
G352-2188;2020-06-16 13:09:39.01+00;False
G352-2188;2020-06-17 07:29:19.707+00;True
G352-2188;2020-06-17 07:30:32.863+00;False
G352-2188;2020-06-17 21:53:09.457+00;True
G352-2188;2020-06-17 21:53:33.441+00;False
G352-2188;2020-06-17 22:51:38.845+00;True
G352-2188;2020-06-17 22:52:38.313+00;False
G352-2188;2020-06-18 00:10:36.441+00;True
G352-2188;2020-06-18 00:10:48.285+00;False
G352-2188;2020-06-18 06:41:11.782+00;True
G352-2188;2020-06-18 06:41:23.751+00;False
G352-2188;2020-06-18 06:41:35.766+00;True
G352-2188;2020-06-18 06:41:48.079+00;False
G352-2188;2020-06-18 07:46:50.916+00;True
G352-2188;2020-06-18 07:47:02.947+00;False
G352-2188;2020-06-18 07:57:25.347+00;True
G352-2188;2020-06-18 07:57:51.691+00;False
G352-2188;2020-06-18 12:22:50.656+00;True
G352-2188;2020-06-18 12:24:29.014+00;False
G352-2188;2020-06-18 13:18:19.509+00;True
G352-2188;2020-06-18 13:18:56.227+00;False
G352-2188;2020-06-19 11:01:39.384+00;True
G352-2188;2020-06-19 11:01:51.868+00;False
G352-2188;2020-06-19 12:55:17.532+00;True
G352-2188;2020-06-19 12:55:29.97+00;False
G352-2188;2020-06-20 07:22:59.264+00;True
G352-2188;2020-06-20 07:23:24.17+00;False
G352-2188;2020-06-22 08:49:53.505+00;True
G352-2188;2020-06-22 08:50:06.708+00;False
G352-2188;2020-06-22 08:50:58.832+00;True
G352-2188;2020-06-22 08:51:12.176+00;False
G352-2188;2020-06-22 09:28:03.61+00;True
G352-2188;2020-06-22 09:28:16.719+00;False
G352-2188;2020-06-23 04:01:17.098+00;True
G352-2188;2020-06-23 05:09:58.427+00;False
G352-2188;2020-06-23 10:08:45.937+00;True
G352-2188;2020-06-23 10:08:59.656+00;False
G352-2188;2020-06-23 10:54:29.658+00;True
G352-2188;2020-06-23 10:54:43.439+00;False
G352-2188;2020-06-23 10:58:08.78+00;True
G352-2188;2020-06-23 11:04:05.448+00;False
G352-2188;2020-06-23 11:57:16.505+00;True
G352-2188;2020-06-23 11:57:57.302+00;False
G352-2188;2020-06-23 11:59:19.457+00;True
G352-2188;2020-06-23 11:59:33.051+00;False
G352-2188;2020-06-23 12:02:02.815+00;True
G352-2188;2020-06-23 12:11:23.45+00;False
G352-2188;2020-06-23 12:14:33.854+00;True
G352-2188;2020-06-23 12:33:45.795+00;False
G352-2188;2020-06-23 12:53:48.845+00;True
G352-2188;2020-06-23 12:54:58.735+00;False
G352-2188;2020-06-23 13:06:26.729+00;True
G352-2188;2020-06-23 13:07:21.587+00;False
G352-2188;2020-06-24 08:19:58.818+00;True
G352-2188;2020-06-24 08:20:18.193+00;False
G352-2188;2020-06-24 11:29:39.068+00;True
G352-2188;2020-06-24 11:29:51.818+00;False
G352-2188;2020-06-24 11:36:05.909+00;True
G352-2188;2020-06-24 11:36:25.752+00;False
G352-2188;2020-06-24 11:48:14.449+00;True
G352-2188;2020-06-24 11:48:27.09+00;False
G352-2188;2020-06-24 14:04:21.61+00;True
G352-2188;2020-06-24 14:12:10.808+00;False
G352-2188;2020-06-25 04:01:17.176+00;True
G352-2188;2020-06-25 05:03:56.035+00;False
G352-2188;2020-06-25 10:38:54.114+00;True
G352-2188;2020-06-25 10:39:52.363+00;False
G352-2188;2020-06-25 10:40:50.878+00;True
G352-2188;2020-06-25 10:42:03.378+00;False
G352-2188;2020-06-25 10:42:46.534+00;True
G352-2188;2020-06-25 10:45:11.173+00;False
G352-2188;2020-06-25 10:45:40.204+00;True
G352-2188;2020-06-25 10:47:07.172+00;False
G352-2188;2020-06-25 10:47:36.422+00;True
G352-2188;2020-06-25 10:48:05.718+00;False
G352-2188;2020-06-25 10:48:20.203+00;True
G352-2188;2020-06-25 10:50:16.764+00;False
G352-2188;2020-06-25 12:36:07.835+00;True
G352-2188;2020-06-25 12:38:45.959+00;False
G352-2188;2020-06-25 12:39:57.614+00;True
G352-2188;2020-06-25 12:40:12.083+00;False
G352-2188;2020-06-25 12:56:54.09+00;True
G352-2188;2020-06-25 12:57:38.199+00;False
G352-2188;2020-06-26 08:47:40.04+00;True
G352-2188;2020-06-26 08:54:45.849+00;False
G352-2188;2020-06-26 12:40:03.875+00;True
G352-2188;2020-06-26 12:40:17.797+00;False
G352-2188;2020-06-29 11:33:04.018+00;True
G352-2188;2020-06-29 11:37:04.609+00;False
G352-2188;2020-06-29 15:04:19.978+00;True
G352-2188;2020-06-29 15:04:49.509+00;False
G352-2188;2020-06-30 11:24:26.494+00;True
G352-2188;2020-06-30 11:25:52.555+00;False
G352-2188;2020-06-30 19:31:46.252+00;True
G352-2188;2020-06-30 19:36:01.937+00;False
G352-2188;2020-06-30 20:45:54.881+00;True
G352-2188;2020-06-30 20:46:09.881+00;False
G352-2188;2020-06-30 22:54:04.483+00;True
G352-2188;2020-06-30 22:56:21.7+00;False
G352-2188;2020-07-01 07:35:24.787+00;True
G352-2188;2020-07-01 07:36:56.676+00;False
G352-2188;2020-07-01 11:22:30.389+00;True
G352-2188;2020-07-01 11:23:16.607+00;False
G352-2188;2020-07-01 13:58:48.27+00;True
G352-2188;2020-07-01 13:59:03.332+00;False
G352-2188;2020-07-01 14:01:49.221+00;True
G352-2188;2020-07-01 14:05:04.298+00;False
G352-2188;2020-07-01 16:23:52.958+00;True
